PathwayName,Expression,Number of Genes
TP53 Regulates Transcription of Cell Cycle Genes,0.8576868809240334,49
Signaling by Erythropoietin,0.8576792313875138,25
Metabolic disorders of biological oxidation enzymes,0.8571232868464477,34
Growth hormone receptor signaling,0.8568402509479346,24
RUNX2 regulates osteoblast differentiation,0.8568211670350212,24
Signaling by ALK fusions and activated point mutants,0.8566979489593083,92
PKA activation in glucagon signalling,0.8564583399474176,17
Signaling by PDGFRA extracellular domain mutants,0.8552719901047174,12
RHOD GTPase cycle,0.8552406213003985,53
Disease,0.8548205291079917,1878
PI3K/AKT Signaling in Cancer,0.85427281916482,113
RND1 GTPase cycle,0.8540292322910603,42
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,0.8538423385793839,14
GABA B receptor activation,0.8530938443101521,43
Activation of GABAB receptors,0.8530938443101521,43
Interleukin-6 signaling,0.8527539794853158,11
Nef mediated downregulation of MHC class I complex cell surface expression,0.8522973772709977,10
CDC42 GTPase cycle,0.8521491696016796,154
G-protein beta:gamma signalling,0.8520958743859481,32
TP53 Regulates Transcription of Caspase Activators and Caspases,0.8516095850479022,12
Cardiac conduction,0.8512866420670395,130
Vasopressin regulates renal water homeostasis via Aquaporins,0.8511729945789422,43
Neurexins and neuroligins,0.8511231384902254,56
Phase 3 - rapid repolarisation,0.8506092066490267,9
Fructose catabolism,0.850063233445395,5
Interferon Signaling,0.8499296700620879,278
NFE2L2 regulating anti-oxidant/detoxification enzymes,0.8498617889559719,19
Sulfur amino acid metabolism,0.8496859122256634,28
Signaling by membrane-tethered fusions of PDGFRA or PDGFRB,0.8494777588230767,5
Abacavir transmembrane transport,0.8494179716380136,5
TCR signaling,0.8486213960860642,108
Tight junction interactions,0.848581156558549,30
Lectin pathway of complement activation,0.8484416689761136,8
GRB2:SOS provides linkage to MAPK signaling for Integrins ,0.8482640274852387,15
Synthesis of Leukotrienes (LT) and Eoxins (EX),0.8477396140773479,20
Activated NTRK2 signals through PI3K,0.8470202330987756,7
PLC beta mediated events,0.846409514857135,49
Prostacyclin signalling through prostacyclin receptor,0.844966958942792,19
Uptake and function of diphtheria toxin,0.844783667886314,6
Defective pyroptosis,0.8447181244284824,68
Integrin signaling,0.8442313535267342,27
Sema4D mediated inhibition of cell attachment and migration,0.8441141389898855,8
Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane,0.8440995177654274,20
ADORA2B mediated anti-inflammatory cytokines production,0.8438852901761267,43
Cellular responses to mechanical stimuli,0.843807265057206,103
G alpha (i) signalling events,0.8435271132842694,312
G-protein mediated events,0.8430920923959422,54
Platelet homeostasis,0.8419463046521596,86
RSV-host interactions,0.8415001304816107,98
Estrogen biosynthesis,0.8410607710633905,6
Class A/1 (Rhodopsin-like receptors),0.8407193648905883,328
ERBB2 Regulates Cell Motility,0.8404891790959453,15
High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells,0.8400128109676448,69
HDL clearance,0.8398311592488488,5
G alpha (q) signalling events,0.8398103377101498,217
NTRK2 activates RAC1,0.8398098964356469,5
RUNX1 regulates expression of components of tight junctions,0.8392747978297429,5
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,0.8387294468870968,13
alpha-linolenic acid (ALA) metabolism,0.8387294468870968,13
Synthesis of IP3 and IP4 in the cytosol,0.8386905016514911,26
rRNA modification in the mitochondrion,0.8386726101896184,8
SHC1 events in ERBB2 signaling,0.8384525600147283,22
ROS and RNS production in phagocytes,0.8381732731914964,36
Ion channel transport,0.8380661761428757,183
Glycerophospholipid biosynthesis,0.8376715871598887,128
ADP signalling through P2Y purinoceptor 12,0.8374544217001145,22
Fatty acyl-CoA biosynthesis,0.8366833541527339,37
Transcriptional regulation of brown and beige adipocyte differentiation by EBF2,0.8366192873822477,31
Transcriptional regulation of brown and beige adipocyte differentiation,0.8366192873822477,31
Urea cycle,0.8361494268087637,10
Calcitonin-like ligand receptors,0.8361142535383184,10
Interferon alpha/beta signaling,0.835985019544724,78
Sialic acid metabolism,0.8356838214224499,33
RSK activation,0.8356474471932679,7
Amino acid transport across the plasma membrane,0.8355050353793072,33
Histidine catabolism,0.8352317323137112,8
RHO GTPase cycle,0.8349734322356119,449
NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,0.834857462521535,37
Biosynthesis of specialized proresolving mediators (SPMs),0.8345958653899856,19
TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,0.8345591080131594,20
Metabolism,0.8345544294905571,2164
Negative regulation of MET activity,0.8340864267896618,21
RAC3 GTPase cycle,0.8336613347954257,94
CLEC7A (Dectin-1) induces NFAT activation,0.8327656288943691,11
Regulation of CDH11 Expression and Function,0.8324520207976387,29
Vitamins,0.8323862138558533,6
Interaction between L1 and Ankyrins,0.8315723000908595,31
Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,0.8306971402890663,7
Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,0.8306971402890663,7
Stimuli-sensing channels,0.8305836621319326,106
VLDL clearance,0.8303765506522958,6
Regulation of gene expression by Hypoxia-inducible Factor,0.8297525064216087,11
Choline catabolism,0.829604160069649,6
p130Cas linkage to MAPK signaling for integrins,0.829580359240085,15
Diseases of hemostasis,0.8293023112480491,19
Signaling by VEGF,0.829212928570744,106
Protein-protein interactions at synapses,0.8286874021026126,87
Zinc transporters,0.8281887194993806,15
Glycogen breakdown (glycogenolysis),0.8281006542614016,14
RHOA GTPase cycle,0.8278828932913834,148
Regulation by c-FLIP,0.827708514387232,11
Sensory perception of salty taste,0.8276432812315467,6
RHOG GTPase cycle,0.827145387928409,74
Triglyceride catabolism,0.8266428390908278,24
Reelin signalling pathway,0.8260593255053232,5
G-protein activation,0.8259510700269905,24
VEGFA-VEGFR2 Pathway,0.8256966814955493,97
O-linked glycosylation,0.8256385031078348,111
MET activates RAS signaling,0.8254537233514302,11
SARS-CoV-2 targets host intracellular signalling and regulatory pathways,0.8250455031726966,12
GPER1 signaling,0.8249782605126558,45
Iron uptake and transport,0.8245205449066734,58
TRP channels,0.8239216273329419,28
CREB phosphorylation,0.8237443965086805,7
Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits,0.8237226503124627,29
Activation of G protein gated Potassium channels,0.8237226503124627,29
G protein gated Potassium channels,0.8237226503124627,29
RND2 GTPase cycle,0.8228517394269672,43
SARS-CoV-1 targets host intracellular signalling and regulatory pathways,0.822792181795207,16
Atorvastatin ADME,0.8225003174593666,8
Hyaluronan metabolism,0.8215071366478462,17
Signaling by GPCR,0.8211438077676979,700
Sodium/Calcium exchangers,0.8209543491609606,11
N-glycan antennae elongation in the medial/trans-Golgi,0.8208046591636692,26
Signaling by WNT in cancer,0.820540231093386,34
Fructose metabolism,0.8201598320686276,7
Recycling pathway of L1,0.8201219638537873,49
"WNT5A-dependent internalization of FZD2, FZD5 and ROR2",0.8198505107706301,13
Antigen processing-Cross presentation,0.8192560457797315,93
Diseases associated with O-glycosylation of proteins,0.8192206446115852,68
Defective GALNT12 causes CRCS1,0.818602062294156,16
Paracetamol ADME,0.8183433888764006,28
Response of endothelial cells to shear stress,0.8167033049956022,93
Signaling by NOTCH3,0.8166415584302795,49
RAS signaling downstream of NF1 loss-of-function variants,0.8165880724677852,7
Sphingolipid metabolism,0.8165582663203128,106
Biosynthesis of DHA-derived SPMs,0.8164342236867759,17
Activation of PUMA and translocation to mitochondria,0.8163836822115712,9
CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,0.8159756102216558,28
Germ layer formation at gastrulation,0.8157319530229568,17
Myogenesis,0.8156879655601442,29
Aquaporin-mediated transport,0.815163784533701,52
Signaling by APC mutants,0.8151221447640994,14
GRB2 events in ERBB2 signaling,0.8144075504082899,16
Negative regulation of NMDA receptor-mediated neuronal transmission,0.8142875388015463,21
Azathioprine ADME,0.8138879479103663,23
APC truncation mutants have impaired AXIN binding,0.8135393955546318,14
Signaling by EGFR,0.8134433238935916,53
Glucagon signaling in metabolic regulation,0.813433704632275,33
RUNX2 regulates bone development,0.8131554743038114,31
eNOS activation,0.8128149403547185,13
Netrin mediated repulsion signals,0.812404628330668,8
TRIF-mediated programmed cell death,0.811841175101856,9
Pyrimidine catabolism,0.811550037720192,12
Erythropoietin activates RAS,0.8111943787430548,14
Apoptosis,0.8111186905958122,166
Signal Transduction,0.8109309240368195,2601
FLT3 signaling in disease,0.8107074886964186,28
Neurotransmitter clearance,0.8092359565987154,10
Surfactant metabolism,0.8089851738239782,30
GABA receptor activation,0.8088800972795889,60
"Interleukin-3, Interleukin-5 and GM-CSF signaling",0.8088679357736926,48
GPCR downstream signalling,0.8087864687443442,627
Nicotinamide salvaging,0.8087536697412331,19
RHOB GTPase cycle,0.808668507753655,70
Transcriptional regulation of granulopoiesis,0.8082764664095806,85
G beta:gamma signalling through PI3Kgamma,0.8082259643227724,25
NR1H2 and NR1H3-mediated signaling,0.8073626262265727,47
Reactions specific to the complex N-glycan synthesis pathway,0.807005305266116,10
Interleukin-20 family signaling,0.8068792332166356,26
FGFR1 mutant receptor activation,0.8066098324608341,31
Muscle contraction,0.8066075031795499,203
RUNX3 regulates BCL2L11 (BIM) transcription,0.8063873364053245,5
Establishment of Sister Chromatid Cohesion,0.8057234007357646,11
TGFBR3 PTM regulation,0.8043780902727171,11
Extra-nuclear estrogen signaling,0.8043093080644358,75
Signaling by CSF1 (M-CSF) in myeloid cells,0.8042469676558838,31
N-Glycan antennae elongation,0.8041176724224776,15
Interleukin-9 signaling,0.8039285290717089,9
Respiratory Syncytial Virus Infection Pathway,0.8030719367719062,120
Glycosphingolipid metabolism,0.8027289173042311,57
Transport to the Golgi and subsequent modification,0.8026105615386636,187
Sema4D in semaphorin signaling,0.8023604783759855,24
Kinesins,0.8022971017285632,61
Nef Mediated CD8 Down-regulation,0.8019536905940378,7
Inactivation of CSF3 (G-CSF) signaling,0.8017216054896714,25
RUNX1 regulates transcription of genes involved in WNT signaling,0.8014351161439199,6
Diseases of DNA Double-Strand Break Repair,0.801254237545351,41
Signaling by CSF3 (G-CSF),0.8011922283953928,30
Estrogen-dependent nuclear events downstream of ESR-membrane signaling,0.8011158370377097,24
Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes,0.8007795593059005,130
MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis,0.8007795593059005,130
Ethanol oxidation,0.8004815497459589,12
PKA-mediated phosphorylation of CREB,0.8002885461592301,20
TNFR1-mediated ceramide production,0.7999310024641825,6
SHC1 events in ERBB4 signaling,0.7998629215871197,14
FGFR3c ligand binding and activation,0.7998502940624936,13
PI3K/AKT activation,0.7996538872548649,9
Signaling by ERBB2 TMD/JMD mutants,0.7992742199323497,22
Defective LFNG causes SCDO3,0.7990424846394051,5
Glutamate Neurotransmitter Release Cycle,0.7989084335175569,24
Inwardly rectifying K+ channels,0.7986990527626334,35
Diseases of metabolism,0.7981646467806595,260
Co-inhibition by CTLA4,0.7980526672971208,21
Signaling by ERBB2 KD Mutants,0.7979270205511805,25
Fatty acid metabolism,0.7973522981187,175
ER to Golgi Anterograde Transport,0.7973072954113141,156
Condensation of Prometaphase Chromosomes,0.7968930329396029,11
Viral Infection Pathways,0.7967260137769865,871
Signaling by ERBB2 in Cancer,0.7965967846034082,26
SARS-CoV-2 Infection,0.7965531605788913,299
NOTCH4 Intracellular Domain Regulates Transcription,0.796385653696145,20
Early Phase of HIV Life Cycle,0.7963399611953471,14
HDL assembly,0.7958832093280128,8
Activation of BH3-only proteins,0.7957922783043341,30
Cellular hexose transport,0.7954973662120294,21
Programmed Cell Death,0.7950728155531928,198
Ca-dependent events,0.7950020426095711,37
G1 Phase,0.7945748533604357,47
Cyclin D associated events in G1,0.7945748533604357,47
Inositol phosphate metabolism,0.7944633231544908,48
Heme signaling,0.7932381862708302,49
"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells",0.7932297572799666,31
Signaling by Rho GTPases,0.7931164181810415,699
Ras activation upon Ca2+ influx through NMDA receptor,0.7930616749860865,20
Peptide hormone biosynthesis,0.79303546559443,14
Signaling by FGFR1 in disease,0.7927774362920514,38
RHO GTPases activate IQGAPs,0.7925615500870953,32
Sema4D induced cell migration and growth-cone collapse,0.7925125893576591,20
RHOF GTPase cycle,0.7924044896092679,42
Purine salvage,0.7921061535199588,13
Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,0.7916955220509243,130
Lipid particle organization,0.7914929669128896,6
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),0.7910125343428294,54
PI-3K cascade:FGFR3,0.7905219087220096,18
BBSome-mediated cargo-targeting to cilium,0.7905175401425517,23
"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",0.7900172047507296,715
CD28 dependent PI3K/Akt signaling,0.7900116232241466,27
Phase 4 - resting membrane potential,0.789766507390164,19
Formation of Fibrin Clot (Clotting Cascade),0.7897203472309647,39
CDH11 homotypic and heterotypic interactions,0.7893065868270069,7
Uptake and actions of bacterial toxins,0.7887167428140825,29
Post-chaperonin tubulin folding pathway,0.7884897578018525,22
Phospholipase C-mediated cascade; FGFR3,0.7883903358195693,13
Defective homologous recombination repair (HRR) due to BRCA1 loss of function,0.7881715518404007,25
Vitamin B2 (riboflavin) metabolism,0.7880090248959348,7
Signaling by ERBB2 ECD mutants,0.7877856068288586,16
RAB geranylgeranylation,0.7874863003788112,65
Arachidonate production from DAG,0.7873245361018074,5
Regulation of insulin secretion,0.7864824924487865,78
G2/M DNA replication checkpoint,0.7858544529468626,5
RHO GTPases activate PAKs,0.7852352964446524,21
InlA-mediated entry of Listeria monocytogenes into host cells,0.7852153457409216,9
IRS-related events triggered by IGF1R,0.7840314585220086,52
DAG and IP3 signaling,0.783900534631036,41
GPCR ligand binding,0.7837568995482613,461
Calmodulin induced events,0.7833846921859641,35
CaM pathway,0.7833846921859641,35
Zinc influx into cells by the SLC39 gene family,0.7825178676082102,10
Effects of PIP2 hydrolysis,0.7824174011103767,27
EGFR downregulation,0.7823957316801481,31
CaMK IV-mediated phosphorylation of CREB,0.7823076954798905,10
Signaling by Non-Receptor Tyrosine Kinases,0.7822173550928638,54
Signaling by PTK6,0.7822173550928638,54
Signaling by Nuclear Receptors,0.7820719167028932,290
NFE2L2 regulating inflammation associated genes,0.7820295845656057,5
ER-Phagosome pathway,0.7814822252015213,77
Interleukin-12 family signaling,0.7801046640578647,56
Signaling by Leptin,0.7794852566650106,11
Transport and synthesis of PAPS,0.7791258309486953,6
Extrinsic Pathway of Fibrin Clot Formation,0.777590944400133,5
Signaling by LTK,0.7775493598559078,12
Potassium Channels,0.7774761624061135,103
Signaling by FGFR,0.7770809557231176,89
Signaling by NTRK1 (TRKA),0.7770604065225712,115
RAF-independent MAPK1/3 activation,0.7770216810656875,23
Pyrimidine salvage,0.7770179714784224,11
Nucleotide salvage,0.7768453130908684,23
MET activates RAP1 and RAC1,0.77680502817174,11
GLI proteins bind promoters of Hh responsive genes to promote transcription,0.7767362052415537,7
MAPK1 (ERK2) activation,0.776278472123519,9
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,0.7762642747903241,42
Phase I - Functionalization of compounds,0.7759108700685214,104
"BMAL1:CLOCK,NPAS2 activates circadian gene expression",0.7757848982598196,27
Phospholipid metabolism,0.7757255615615942,211
RHOU GTPase cycle,0.7753262717260249,40
Integration of energy metabolism,0.7740124618690764,108
TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation,0.773986925354898,5
Signaling by Activin,0.7739635908991838,17
Triglyceride metabolism,0.7737814785596682,38
Highly calcium permeable nicotinic acetylcholine receptors,0.7737426360531721,9
Nef Mediated CD4 Down-regulation,0.7736706244670948,9
Sensing of DNA Double Strand Breaks,0.7735177944541126,6
Erythropoietin activates STAT5,0.7734557521798999,7
RHOH GTPase cycle,0.7732592222557425,37
Co-stimulation by CD28,0.7731134030042778,48
IGF1R signaling cascade,0.7729962926173264,53
Formation of Senescence-Associated Heterochromatin Foci (SAHF),0.7726243746968143,17
Downstream signal transduction,0.771717888941922,29
Cohesin Loading onto Chromatin,0.7714280770253966,10
RHO GTPases Activate ROCKs,0.7713352259151801,19
Endogenous sterols,0.7706845479013634,25
Vitamin B1 (thiamin) metabolism,0.7704000908613285,5
Diseases of DNA repair,0.7701495970132266,51
DNA Damage/Telomere Stress Induced Senescence,0.7699122153219796,77
Transport of small molecules,0.769769259453086,722
RHOJ GTPase cycle,0.7695030510800953,55
CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde,0.7689547183457299,8
Neuronal System,0.7686449577516431,410
Regulated Necrosis,0.768375525865716,59
Signaling by EGFRvIII in Cancer,0.7682581241581794,15
Constitutive Signaling by EGFRvIII,0.7682581241581794,15
Caspase activation via extrinsic apoptotic signalling pathway,0.7681649911265751,26
Cross-presentation of soluble exogenous antigens (endosomes),0.7680957045018257,37
Metabolism of lipids,0.7679743682168558,754
Termination of O-glycan biosynthesis,0.7679441302569714,23
Mitotic Telophase/Cytokinesis,0.7673933715486402,13
Signaling by FGFR2 IIIa TM,0.7673811854974744,19
SOS-mediated signalling,0.767075512955571,7
Activation of BAD and translocation to mitochondria ,0.7668823761768546,15
Signaling by TGFBR3,0.7663294230630394,49
Passive transport by Aquaporins,0.7657312008467575,13
Activated NTRK2 signals through FYN,0.765583335092384,7
Cyclin A/B1/B2 associated events during G2/M transition,0.7654456717713798,25
NGF-independant TRKA activation,0.7652322047702274,5
Formation of tubulin folding intermediates by CCT/TriC,0.7640010349836871,26
Cell-extracellular matrix interactions,0.7639309182474179,18
Signaling by WNT,0.7636547506053598,313
O-linked glycosylation of mucins,0.7634510817385584,62
Calcineurin activates NFAT,0.7634225337388412,9
Pre-NOTCH Processing in Golgi,0.7632524724277581,18
Listeria monocytogenes entry into host cells,0.7628049412021201,20
PI3K Cascade,0.7627150002320933,44
IRS-mediated signalling,0.7625109518556147,48
RHOC GTPase cycle,0.7622880552060192,74
Sema3A PAK dependent Axon repulsion,0.7618478347676638,16
SHC-mediated cascade:FGFR3,0.7616070754300848,18
Nuclear Receptor transcription pathway,0.7607619029283403,53
FOXO-mediated transcription,0.7606387020923475,65
Signaling by ERBB2,0.7604970628924536,50
IRF3 mediated activation of type 1 IFN,0.7602994244786335,5
Disinhibition of SNARE formation,0.7602226110572214,5
Epigenetic regulation by WDR5-containing histone modifying complexes,0.759907900593199,161
AKT phosphorylates targets in the nucleus,0.7598394434215265,10
RHO GTPase Effectors,0.7596087993596473,319
Highly calcium permeable postsynaptic nicotinic acetylcholine receptors,0.7594277629669168,11
Signaling by NOTCH2,0.7593675914363541,34
Signaling by NTRKs,0.7593674615140551,134
RHO GTPases Activate WASPs and WAVEs,0.7592890624347542,36
Bacterial Infection Pathways,0.759170916748306,71
Glycogen metabolism,0.759071600231633,25
Dopamine Neurotransmitter Release Cycle,0.7590147481812577,23
"Regulation of MITF-M-dependent genes involved in DNA replication, damage repair and senescence",0.7586513053179456,6
Serotonin Neurotransmitter Release Cycle,0.758557924933149,18
Signalling to RAS,0.758080021347758,20
Activation of AMPK downstream of NMDARs,0.7578456266183481,29
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,0.7578257246335683,23
Metabolism of nitric oxide: NOS3 activation and regulation,0.7577474785768181,17
Response of EIF2AK1 (HRI) to heme deficiency,0.7568174080995556,15
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",0.7561903998367828,56
Formation of xylulose-5-phosphate,0.7560581545397546,5
Elevation of cytosolic Ca2+ levels,0.7558490728995966,16
Activated NTRK2 signals through RAS,0.755226890475225,9
Class B/2 (Secretin family receptors),0.755153071442415,94
Neurotransmitter receptors and postsynaptic signal transmission,0.7547186610700134,205
rRNA processing in the mitochondrion,0.7545436903289202,12
Synthesis of PI,0.7542376484830704,5
Synthesis of bile acids and bile salts,0.7535575567062766,33
Transcriptional regulation by RUNX3,0.7531728390502289,86
EPHB-mediated forward signaling,0.7531530930730911,42
Post NMDA receptor activation events,0.7528769238749506,81
Beta-catenin independent WNT signaling,0.7526395364072291,133
RUNX3 regulates NOTCH signaling,0.7525457059872569,14
"Activation of NIMA Kinases NEK9, NEK6, NEK7",0.7516730482920851,7
Activation of the AP-1 family of transcription factors,0.7515650274219681,10
p75 NTR receptor-mediated signalling,0.7510613188911243,97
Transmission across Chemical Synapses,0.7507002764396347,269
Transcriptional regulation by RUNX1,0.750535814636643,220
Synthesis of PIPs at the plasma membrane,0.7504905678487794,53
Sphingolipid de novo biosynthesis,0.7501360741649529,37
RHOQ GTPase cycle,0.7500470842260581,59
Intrinsic Pathway for Apoptosis,0.7490895028209319,55
Glycosphingolipid catabolism,0.7490016366227443,38
Nucleosome assembly,0.7489472697916284,70
Deposition of new CENPA-containing nucleosomes at the centromere,0.7489472697916284,70
Regulation of RUNX1 Expression and Activity,0.7489406189787707,17
Activated NTRK2 signals through FRS2 and FRS3,0.7484161137915375,11
Activation of TRKA receptors,0.7483179096551715,6
Clathrin-mediated endocytosis,0.7475752374477052,145
Biological oxidations,0.7475499452763253,217
Smooth Muscle Contraction,0.7473736970714746,43
Depolymerization of the Nuclear Lamina,0.7466167074919172,15
Platelet sensitization by LDL,0.7464944474271186,17
Methylation,0.7462388820138526,14
RHO GTPases activate CIT,0.7461906737474198,19
Release of Hh-Np from the secreting cell,0.7454815190065236,8
Transport of inorganic cations/anions and amino acids/oligopeptides,0.745424880371271,107
Interleukin-7 signaling,0.7449743991653386,34
Norepinephrine Neurotransmitter Release Cycle,0.7447852298540828,18
TRAF6 mediated NF-kB activation,0.7446218479983567,25
The fatty acid cycling model,0.7441488932002355,5
Pregnenolone biosynthesis,0.7441189186681642,12
AMPK inhibits chREBP transcriptional activation activity,0.7440636313821877,8
Senescence-Associated Secretory Phenotype (SASP),0.7428290476259966,107
Signaling by Hippo,0.7427041299884827,20
FLT3 Signaling,0.7424914465386238,38
Asparagine N-linked glycosylation,0.74241834122706,307
Bile acid and bile salt metabolism,0.7422102302290878,44
Polo-like kinase mediated events,0.7421181490233969,16
"Unblocking of NMDA receptors, glutamate binding and activation",0.7420711068629111,21
Activation of NMDA receptors and postsynaptic events,0.741931074830552,94
Metabolism of water-soluble vitamins and cofactors,0.7418326722394172,127
Multifunctional anion exchangers,0.7417579017061219,9
Interleukin-1 family signaling,0.741290307988931,139
Trafficking of GluR2-containing AMPA receptors,0.7409167303203663,17
RHO GTPases Activate Rhotekin and Rhophilins,0.7407997002343603,9
Glycogen synthesis,0.7407329065090733,14
Insulin receptor signalling cascade,0.7406511392606652,54
"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",0.7405623960777853,29
ESR-mediated signaling,0.7404877670651613,216
Eicosanoids,0.7404086997836575,12
Formation of the beta-catenin:TCF transactivating complex,0.7400467535310001,87
FASTK family proteins regulate processing and stability of mitochondrial RNAs,0.7396416064827874,6
"Transport of bile salts and organic acids, metal ions and amine compounds",0.7396272531664011,84
Membrane Trafficking,0.7396226055070412,630
FRS-mediated FGFR3 signaling,0.7395226194637373,20
Packaging Of Telomere Ends,0.7389957126440737,49
Vitamin D (calciferol) metabolism,0.7388190743135352,12
Gluconeogenesis,0.7388013243981981,25
Synthesis of bile acids and bile salts via 24-hydroxycholesterol,0.7387999793026869,13
"Cobalamin (Cbl, vitamin B12) transport and metabolism",0.7386706596547093,22
HDACs deacetylate histones,0.7386487391259894,90
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,0.738228791348351,92
Regulation of FZD by ubiquitination,0.7367130664934444,21
Downstream TCR signaling,0.7365353403213833,86
Transcriptional Regulation by VENTX,0.7364324418747193,39
DNA methylation,0.7362654473678342,60
Synthesis of UDP-N-acetyl-glucosamine,0.7360879917572714,8
Vitamin B5 (pantothenate) metabolism,0.7355653590155262,20
SHC-related events triggered by IGF1R,0.7351127146052101,9
Carboxyterminal post-translational modifications of tubulin,0.7348735769439356,46
Lysosome Vesicle Biogenesis,0.7348007748373421,35
HCMV Early Events,0.7346956199046276,134
Impaired BRCA2 binding to PALB2,0.7343526063347973,24
Heme degradation,0.7342355873841336,15
Adipogenesis,0.7341163938981633,110
Glycerophospholipid catabolism,0.7337784570209277,7
Pre-NOTCH Processing in the Endoplasmic Reticulum,0.7336756286469989,6
FOXO-mediated transcription of cell cycle genes,0.7336458388157412,17
Interleukin-12 signaling,0.7333668047516015,46
Synthesis of PE,0.7331409364484682,13
Toll-like Receptor Cascades,0.7330010030183205,170
Downstream signaling of activated FGFR3,0.7328970146686562,25
Trafficking of AMPA receptors,0.7324470302399515,31
"Glutamate binding, activation of AMPA receptors and synaptic plasticity",0.7324470302399515,31
SLC-mediated transmembrane transport,0.7324016683578037,248
PPARA activates gene expression,0.7321725711114948,116
NOSTRIN mediated eNOS trafficking,0.7321337258788417,5
Apoptotic factor-mediated response,0.7320534367669608,20
Platelet calcium homeostasis,0.731206667450221,28
ATF4 activates genes in response to endoplasmic reticulum  stress,0.7308998127315044,27
G1/S-Specific Transcription,0.7304481114930389,29
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,0.7297876996053232,9
Meiotic synapsis,0.7294313594526702,76
Phenylalanine and tyrosine metabolism,0.7293622904622179,11
Activation of anterior HOX genes in hindbrain development during early embryogenesis,0.7291577977065284,118
Activation of HOX genes during differentiation,0.7291577977065284,118
Negative regulation of TCF-dependent signaling by DVL-interacting proteins,0.7291000326497272,5
Plasma lipoprotein clearance,0.7289511324747054,37
Assembly and cell surface presentation of NMDA receptors,0.7288476197246926,44
Release of apoptotic factors from the mitochondria,0.7287923350257627,7
Regulation of lipid metabolism by PPARalpha,0.7286521620589963,118
Cleavage of the damaged purine,0.7286301382041687,53
Regulation of signaling by CBL,0.7281983019644249,22
Cholesterol biosynthesis,0.7278732545971189,27
RHO GTPases activate PKNs,0.7272711085442025,89
CREB1 phosphorylation through the activation of Adenylate Cyclase,0.7263745331916556,12
Signaling by Insulin receptor,0.7259093663644728,82
HATs acetylate histones,0.7257983058171353,137
Presynaptic nicotinic acetylcholine receptors,0.7253858382050218,12
Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding,0.7253519290241491,33
FGFR1c ligand binding and activation,0.7252978446545085,14
Signaling by NOTCH,0.7250076232475193,235
Cytoprotection by HMOX1,0.7244230266768863,60
Metabolism of amino acids and derivatives,0.7243551670442226,353
FGFR2c ligand binding and activation,0.7239780869671082,13
Recognition and association of DNA glycosylase with site containing an affected purine,0.7231797058021413,53
Depurination,0.7231797058021413,53
Acyl chain remodeling of DAG and TAG,0.7231095341052828,7
HCMV Infection,0.7223961077022687,158
NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10,0.7223425261320622,13
Prefoldin mediated transfer of substrate  to CCT/TriC,0.7222736899852568,28
Class I MHC mediated antigen processing & presentation,0.7221738085192202,368
HSF1-dependent transactivation,0.7220862524744147,38
Regulation of cytoskeletal remodeling and cell spreading by IPP complex components,0.7216103399325988,8
Oncogene Induced Senescence,0.7213431979561481,33
Signaling by NTRK2 (TRKB),0.7212349239766477,25
Acetylcholine binding and downstream events,0.7210465519012713,14
Postsynaptic nicotinic acetylcholine receptors,0.7210465519012712,14
Synthesis of substrates in N-glycan biosythesis,0.7210085527198371,64
Toll Like Receptor 4 (TLR4) Cascade,0.7209400818445664,145
MAPK3 (ERK1) activation,0.7205403100938721,10
"GABA synthesis, release, reuptake and degradation",0.7204233200581291,19
Phosphate bond hydrolysis by NTPDase proteins,0.720388248818311,8
Recognition and association of DNA glycosylase with site containing an affected pyrimidine,0.7202695698399516,58
Depyrimidination,0.7202695698399516,58
"Synthesis, secretion, and deacylation of Ghrelin",0.7199424790265644,19
